,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject: National Accounts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Gross Fixed Capital Formation (GFCF),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Gross Fixed Capital Formation In Chained (2015) Dollars, Quarterly ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 24/11/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Million Dollars
  Transport Equipment (Private Sector),"1,217.5","1,958.7","2,099.6","3,648.6","1,978.4","2,733.7","3,116.6","3,312.0","3,271.1","4,248.1","3,151.8","3,872.0","2,718.5","4,002.1","2,389.4","5,156.8","3,373.1","3,968.9","1,878.1","4,675.3","1,920.1","2,234.4","1,203.0","2,969.3","1,751.5","2,053.7","1,665.5","2,011.1","1,839.3","1,333.4","1,851.2","1,570.5","2,507.7","1,584.4","2,153.8","2,148.7","2,015.1","1,858.0","3,383.5","1,587.2","2,987.0","2,370.7","1,118.5","1,940.3","1,602.0","1,249.6","2,018.9",876.2,"1,262.3","3,282.0","2,087.1","1,217.0","1,338.8","2,866.4","3,424.6","2,969.2",760.5,"2,074.9","1,844.5","2,168.0","1,210.7",719.4,"1,606.7","1,527.5","1,206.4","1,257.4","1,544.3",778.0,"1,851.9",818.6,861.3,706.7,"1,108.6","1,060.3","1,478.2","1,262.1","1,046.5","1,288.0",990.2,"1,285.0","1,364.2","1,126.8","1,423.7",813.4,"2,009.6",779.1,"1,584.7","1,077.0","2,440.6","1,532.3","1,365.2","1,205.3","1,788.3","1,444.7","2,742.9","2,396.3","2,341.6","1,940.1","2,236.6","3,271.3","1,531.3","2,357.0","2,148.9","2,266.1","1,521.1","1,227.3","1,531.9","1,146.9","1,251.7","1,328.6","1,465.5","1,614.6","1,224.6","1,587.7","1,652.7","1,394.8","1,140.6","1,395.8","1,410.5",642.0,"1,257.5","1,643.7","1,263.1",764.9,"1,366.0",994.5,973.4,"1,097.1",744.6,406.7,"1,249.8",405.5,874.2,383.6,514.2,712.8,502.9,207.2,771.0,273.2,762.5,220.9,901.0,502.7,534.9,272.0,"1,084.4",940.3,371.0,702.6,803.3,529.0,781.9,"1,105.5",595.7,656.8,"1,060.4",833.8,"1,120.2",817.5,815.9,896.7,718.8,747.1,871.5,"1,100.2",862.2,897.2,"1,156.5",724.5,391.0,792.0,444.6,630.4,761.4,649.3,667.2,525.4,415.2,273.1,510.8,477.3,633.7,359.4,277.8,294.8,455.3
  Machinery & Equipment (Private Sector),"7,055.5","6,625.6","5,873.8","6,411.4","5,630.5","5,098.0","5,294.6","5,819.7","5,642.4","5,685.6","4,910.5","5,861.5","5,621.3","5,849.9","5,112.3","5,908.0","5,157.0","5,488.0","4,508.7","5,234.2","5,249.6","6,048.8","4,779.6","5,005.2","5,082.1","5,190.1","4,559.1","5,593.6","5,169.3","5,243.4","4,516.1","5,436.9","5,523.8","5,191.0","4,773.9","5,626.1","5,200.1","5,127.1","4,947.5","5,141.3","5,384.2","5,050.3","4,187.9","4,906.2","4,808.6","4,804.2","4,264.1","4,476.2","4,020.2","3,390.1","2,945.0","3,879.0","4,388.2","4,509.1","3,636.8","4,772.9","4,218.3","3,933.2","3,401.2","4,282.5","3,908.4","3,801.1","2,946.9","3,928.2","3,405.4","3,203.5","2,562.1","3,253.0","3,421.4","3,767.1","2,906.9","2,853.2","2,486.8","2,454.5","2,124.3","2,280.0","2,457.1","2,715.5","2,480.1","2,545.4","2,669.1","2,812.9","2,937.0","3,464.5","3,499.7","3,217.2","3,153.4","2,756.9","2,569.8","2,604.0","2,028.1","2,307.3","2,313.3","2,356.8","2,383.3","2,892.4","2,738.7","2,501.5","2,267.3","2,542.7","2,207.9","2,551.6","2,228.4","2,322.0","1,798.3","1,873.3","1,697.6","1,915.9","1,718.4","1,792.9","1,597.3","1,743.5","1,740.3","1,646.8","1,382.3","1,624.1","1,491.3","1,373.3","1,113.4","1,259.8","1,305.0","1,464.7","1,256.1","1,395.7","1,368.1","1,301.5","1,253.6","1,324.3","1,280.1","1,257.8","1,041.3","1,167.8","1,070.1","1,008.5",836.8,880.9,846.4,786.6,623.6,727.3,661.5,573.2,575.7,633.7,586.8,635.9,702.8,760.5,693.8,721.7,695.6,625.3,635.9,657.4,533.8,610.7,634.9,676.8,689.8,785.6,731.0,682.4,633.2,672.5,619.7,576.8,503.4,507.6,508.8,477.0,388.0,385.2,395.8,360.9,302.2,345.7,300.2,288.9,242.2,320.4,335.7,322.7,350.9,345.1,362.1,443.6,422.4
  Intellectual Property Products (Private Sector),"7,357.5","7,373.5","7,123.2","6,904.5","7,060.5","6,991.4","6,865.8","7,003.4","7,208.5","7,220.3","7,146.2","6,981.6","7,076.3","7,216.5","7,187.6","7,593.4","8,296.5","7,968.0","7,267.5","5,916.3","5,755.5","5,652.8","5,754.7","6,321.6","6,554.1","6,531.1","5,860.9","6,873.7","6,400.9","6,150.3","6,011.7","4,794.9","5,401.3","4,703.3","4,670.9","3,493.1","3,768.8","3,673.3","3,463.6","3,319.1","3,320.8","3,167.0","3,150.1","2,887.8","3,021.5","2,946.9","2,766.1","2,816.8","2,913.6","2,877.7","2,751.4","2,560.5","2,695.2","2,545.7","2,678.9","2,550.7","2,596.3","2,469.0","2,518.1","2,519.4","2,633.3","2,396.7","2,296.8","2,105.8","2,042.7","1,942.6","2,000.6","1,907.7","1,933.8","1,844.9","1,789.9","1,661.9","1,605.4","1,507.0","1,454.8","1,525.2","1,500.9","1,532.7","1,489.4","1,466.0","1,477.2","1,487.0","1,323.1","1,273.6","1,337.9","1,324.7","1,231.6","1,219.4","1,209.9","1,184.0","1,116.3","1,075.2","1,094.4","1,042.7",963.4,985.5,977.1,931.6,910.7,874.6,825.0,813.0,775.6,723.6,659.3,652.4,621.4,623.3,611.6,585.8,545.0,541.5,581.6,563.7,523.3,545.4,532.9,524.7,498.3,473.1,510.4,498.4,436.6,427.2,435.5,415.0,407.3,328.9,300.2,278.0,254.9,287.7,286.6,268.9,248.0,202.3,195.2,179.3,159.0,150.1,129.9,127.4,147.1,153.5,157.1,153.3,151.5,130.4,116.2,106.3,93.6,76.6,71.6,75.1,76.5,76.2,83.6,81.9,74.4,57.6,58.8,57.6,56.3,56.3,53.3,51.8,49.7,48.6,49.0,47.4,43.4,44.3,42.8,39.8,35.8,33.0,28.9,26.1,22.8,20.5,19.7,18.0,16.3,13.3,10.3,7.6,4.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Disaggregated chain-linked data generally do not add up to the total. For more information on national accounts methodologies, please visit Singstat website (www.singstat.gov.sg/find-data/search-by-theme/economy/national-accounts/publications-and-methodology) to view and download related publications.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross Fixed Capital Formation:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Acquisitions, less disposals, of fixed assets during the accounting period plus improvements to land.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notation:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
na  not available or not applicablenec  not elsewhere classifiednes  not elsewhere specified-    nil or negligible or not significant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NotesNumbers may not add up to the totals due to rounding.Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Values are shown in Singapore dollars (unless otherwise specified),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated by: SingStat Table Builder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date generated: 29/11/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contact: info@singstat.gov.sg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
